,0,1
0,35.6622083476,1
1,44.1756782355,-1
2,11.320569139,-1
3,11.320569139,1
4,237.5127172814,-1
5,183.1017486129,1
6,116.6546839626,-1
7,40.0315224794,-1
8,85.6200992786,1
9,58.1050114388,-1
10,39.7881059672,1
11,23.7599310651,-1
12,84.6395696551,1
13,92.5970003055,1
14,79.8152090362,1
15,60.3891735135,1
16,9.7141753137,1
17,39.5293195695,1
18,98.844760716,-1
19,63.8770032164,1
20,47.2124960507,1
21,71.4649001369,1
22,207.4728996554,1
23,394.1943615842,-1
24,304.2156888982,1
25,203.080423894,1
26,162.6918572853,-1
27,291.5671462465,1
28,190.4592729946,-1
29,37.2746091561,-1
30,130.5493387915,1
31,73.3497038606,1
32,121.9562010336,1
33,105.3879634973,1
34,112.5261451654,1
35,306.5069886546,1
36,161.376404982,1
37,239.9958467705,-1
38,245.3755518315,-1
39,36.4008231368,1
40,91.1068755718,-1
41,89.7097834798,1
42,128.7648237192,1
43,120.8957024977,-1
44,23.1018344139,1
45,141.611951477,-1
46,134.168814938,-1
47,177.3453802537,-1
48,172.4625768839,-1
49,69.6013400421,-1
50,378.960554755,-1
51,363.9914429529,1
52,150.8707198642,-1
53,134.0467436307,-1
54,47.5701033813,1
55,120.9356376936,1
56,110.6587345621,-1
57,106.0837052579,-1
58,68.5883140395,1
59,36.882831445,-1
60,79.2509161545,1
61,65.4288383609,1
62,64.7532695711,1
63,46.135808932,1
64,33.3813898301,1
65,126.2261357235,1
66,90.2770906144,-1
67,112.6882677086,1
68,64.5267929073,1
69,31.2215050645,-1
70,83.3352669716,-1
71,56.5416025776,1
72,79.1955574366,-1
73,83.2044435411,-1
74,25.9860020438,1
75,39.5956032816,1
76,46.2535170424,1
77,179.5679730156,1
78,183.2347235432,-1
79,19.6246332795,1
80,227.6810681138,-1
81,133.7639261423,1
82,67.4009349831,-1
83,86.5504305284,-1
84,42.6395803635,1
85,72.8352526482,-1
86,71.8216845365,1
87,63.2117000288,-1
88,38.3418271693,1
89,28.459618187,-1
90,46.5369625194,-1
91,42.7276675537,1
92,30.1881026019,-1
93,37.9749599669,1
94,23.8126903735,-1
95,27.2784617217,-1
96,40.5844967876,-1
97,47.6189424401,-1
98,56.6967459698,-1
99,16.3205281094,1
100,22.2755368636,1
101,19.4311751723,1
102,34.5480023796,-1
103,30.6042168764,-1
104,9.3937133141,1
105,46.7529897851,-1
106,42.1682329956,-1
107,54.4211341362,1
108,32.4571047672,1
109,7.9795926544,1
110,56.8535823975,1
111,54.4939602754,-1
112,28.8786592616,1
113,106.0515141285,-1
114,7.9520563991,1
115,52.6397909422,1
116,65.4202055451,1
117,139.9310948057,-1
118,80.2971530715,1
119,30.4240346378,1
120,136.0995793194,-1
121,71.8141273668,1
122,62.90359471,1
123,322.2753770405,-1
124,46.9840691163,-1
125,105.7682906389,-1
126,84.9228577581,-1
127,100.0051133356,1
128,851.4742472447,1
129,169.6523785337,-1
130,441.638808559,-1
131,197.6822355134,1
132,142.0664451945,1
133,146.4394653262,1
134,36.3500953021,1
135,168.4031149719,-1
136,130.2218766226,1
137,89.8198543134,-1
138,116.9639596242,1
139,44.4188335191,1
140,154.9440831972,-1
141,112.2887585482,1
142,206.1444403812,1
143,825.1070143567,-1
144,130.1660198943,-1
145,414.0799578135,-1
146,334.9976024334,-1
147,576.2793229269,-1
148,593.8131758915,-1
149,98.623744256,-1
150,324.0804776647,1
151,229.9841403965,-1
152,139.2573923997,-1
153,113.0907429132,-1
154,32.2640578552,1
155,123.2863079734,-1
156,81.3543231228,-1
157,121.9494290321,-1
158,146.5684856205,1
159,68.8543494164,1
160,101.787520941,1
161,84.8871075403,1
162,79.1397794594,-1
163,64.1859563889,-1
164,26.0367929004,1
165,75.6299132751,1
166,64.151456701,1
167,177.1867630812,-1
168,65.7653132335,1
169,19.6269807685,1
170,101.9987602797,-1
171,65.4218638147,-1
172,114.2369221452,1
173,599.9446896697,-1
174,37.4253167073,1
175,108.4623674707,1
176,165.9134829218,1
177,309.3771090775,1
178,62.1932471024,1
179,255.5381069286,1
180,539.2056811571,1
181,289.3257193714,-1
182,221.815356824,1
183,77.9491236335,-1
184,391.0445768589,-1
185,261.6002286547,-1
186,396.7110988336,1
187,199.80687144,-1
188,61.4047610533,1
189,169.3930324494,1
190,111.6253378165,-1
191,124.0573651229,1
