0,1,2
226.1921481,-1,50037
-54.41096867,1,76192
-66.44706465,-1,56624
10.64870322,-1,28240
45.5885768,1,49505
-27.51508784,-1,23291
-18.31690547,1,20267
5.472367164,-1,26709
60.87963859,1,37437
7.95743065,1,40721
-12.78179127,1,52801
-19.42603552,1,26039
-7.519120758,1,30467
29.81514426,1,22337
59.31544115,-1,33447
-34.9677575,1,50164
-16.66450717,1,27515
8.750015389,1,24300
136.0079995,1,38310
186.7214619,-1,35321
-89.97867269,1,48454
-101.135265,1,40226
-7.572446551,-1,28898
128.875289,1,27386
-101.1078733,-1,44312
-7.156816438,-1,40604
93.27472964,1,21785
-57.19963493,1,19241
48.60649717,1,20402
-16.56823754,1,38834
0.604753972,1,28951
193.9808435,1,31430
-145.1305837,1,35109
78.61944179,-1,24237
5.379705061,-1,33768
-13.39058395,1,50202
54.70605244,-1,33331
-1.397092092,1,38536
39.05504024,1,34505
-7.869121221,-1,42038
-2.087459031,1,38242
118.5101171,-1,31303
-7.443136539,-1,52932
43.17656532,-1,27980
-4.88280337,-1,37728
9.343728013,-1,35092
309.3592147,-1,22427
-14.9691118,1,49628
-213.1207231,-1,56488
-16.82397623,-1,37540
-0.079142446,1,42044
73.36553431,1,37796
-10.27690313,-1,36624
-4.575029304,-1,44601
-37.49539122,1,28950
0.633537748,-1,25951
42.36808471,1,17726
-13.82207779,1,35263
-0.67556879,1,30684
-18.61746064,1,56259
-5.426880038,1,46634
92.84474589,1,46792
-35.94904511,-1,42716
22.41117709,1,21929
-48.1614748,1,31470
-6.216403561,-1,19595
52.11376191,-1,46618
-26.79366439,1,38412
22.65395486,-1,27501
4.008886105,-1,26774
1.345452789,1,31768
13.60960124,1,18681
6.657913761,1,23099
133.314456,1,16051
3.666750528,-1,41794
-3.842019567,1,35364
208.0564348,-1,36572
-93.91714197,1,39331
-66.36299116,-1,27163
19.14949555,-1,18587
14.85488191,1,25846
30.19567228,-1,23857
-1.013568112,1,23546
-8.609984508,-1,42457
-24.86987286,1,27214
5.915047916,-1,18156
18.07734433,-1,17297
-3.809294966,1,29021
-12.53956495,-1,25176
7.786857365,1,18503
-6.168974578,-1,18736
3.465771348,-1,31451
13.30603507,-1,18931
7.034445652,-1,22622
9.07780353,-1,33006
-8.679854274,1,33320
5.955008754,1,41173
-2.844361691,1,45374
15.11682721,-1,34341
-3.943785503,-1,33075
-2.074996427,1,19399
37.35927647,-1,16039
-4.584756789,-1,42206
12.25290114,1,23054
-21.96402937,1,17318
-1.246858147,1,19402
48.87398974,1,16343
-2.359622122,-1,32697
-25.61530101,1,25470
77.17285487,-1,16671
1.900931508,1,25969
44.68773454,1,22436
12.7804146,1,34891
74.51088926,-1,31006
-59.63394173,1,33406
3.066432192,1,19646
105.6755447,-1,27858
-64.28545195,1,29909
-8.910532657,1,20977
259.3717823,-1,19178
16.70431779,-1,40658
